epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,515.698,1.33776,2.06718,0.01787,0.56297,0.589,0.59803,0.42,1.09012,1.29219,0.02305,0.000333046,0.000333046,0.0670284
2,1051.3,1.19886,1.27459,0.01593,0.69779,0.72815,0.76473,0.53935,1.0507,0.97135,0.02243,0.000649887,0.000649887,0.0340119
3,1511.3,1.1521,1.09751,0.01529,0.79421,0.80594,0.86095,0.62263,0.97722,0.70189,0.02145,0.000950227,0.000950227,0.000978914
4,1811.92,1.1354,0.97743,0.01524,0.85457,0.79652,0.87522,0.62036,1.03494,0.66401,0.02233,0.00092575,0.00092575,0.00092575
5,2105.19,1.1121,0.9202,0.01449,0.83196,0.80285,0.87209,0.64872,0.96458,0.63555,0.02047,0.000901,0.000901,0.000901
6,2366.8,1.09146,0.86075,0.01428,0.89473,0.79476,0.88985,0.65027,1.00447,0.59984,0.02125,0.00087625,0.00087625,0.00087625
7,2581.22,1.05934,0.79412,0.01384,0.83726,0.83699,0.90489,0.67658,0.92762,0.56817,0.01981,0.0008515,0.0008515,0.0008515
8,2797.4,1.03363,0.79256,0.01354,0.88196,0.87247,0.92989,0.69304,0.92175,0.51021,0.02002,0.00082675,0.00082675,0.00082675
9,3029,1.02512,0.77074,0.01315,0.8556,0.86012,0.90788,0.6902,0.89866,0.54112,0.01879,0.000802,0.000802,0.000802
10,3259.47,1.04577,0.7563,0.01338,0.87901,0.86907,0.91991,0.69973,0.86039,0.50627,0.01767,0.00077725,0.00077725,0.00077725
11,3480.69,1.00747,0.75749,0.01314,0.87854,0.87029,0.93244,0.72015,0.84006,0.48832,0.01735,0.0007525,0.0007525,0.0007525
12,3708.96,0.98371,0.71351,0.01245,0.8768,0.87987,0.92115,0.71819,0.85249,0.46897,0.01746,0.00072775,0.00072775,0.00072775
13,3937.2,0.96906,0.68623,0.01229,0.90468,0.87166,0.92628,0.72127,0.82392,0.46636,0.01696,0.000703,0.000703,0.000703
14,4162.72,0.97299,0.67147,0.01251,0.89977,0.89468,0.93902,0.72719,0.83322,0.43721,0.01704,0.00067825,0.00067825,0.00067825
15,4393.41,0.96176,0.65716,0.01216,0.91192,0.86938,0.93649,0.72034,0.84608,0.46548,0.01723,0.0006535,0.0006535,0.0006535
